iter	Passed	Remaining
1413	25929	65759
1414	25945	65733
1415	25959	65704
1416	25975	65681
1417	25990	65653
1418	26005	65628
1419	26021	65602
1420	26037	65578
1421	26051	65549
1422	26066	65523
1423	26079	65492
1424	26096	65469
1425	26112	65446
1426	26142	65457
1427	26162	65442
1428	26177	65415
1429	26204	65420
1430	26225	65406
1431	26246	65395
1432	26263	65375
1433	26279	65349
1434	26293	65320
1435	26307	65291
1436	26320	65261
1437	26337	65238
1438	26351	65210
1439	26364	65179
1440	26379	65152
1441	26395	65127
1442	26410	65100
1443	26493	65242
1444	26522	65252
1445	26543	65238
1446	26558	65213
1447	26575	65190
1448	26591	65165
1449	26611	65152
1450	26629	65132
1451	26645	65107
1452	26663	65089
1453	26684	65077
1454	26700	65053
1455	26722	65043
1456	26738	65019
1457	26759	65007
1458	26774	64980
1459	26790	64958
1460	26806	64933
1461	26823	64911
1462	26839	64887
1463	26854	64861
1464	26874	64847
1465	26889	64821
1466	26904	64793
1467	26922	64775
1468	26938	64752
1469	26955	64729
1470	26972	64707
1471	26992	64693
1472	27022	64702
1473	27056	64722
1474	27071	64696
1475	27085	64668
1476	27108	64661
1477	27130	64651
1478	27143	64620
1479	27161	64600
1480	27185	64595
1481	27201	64571
1482	27215	64543
1483	27232	64521
1484	27249	64499
1485	27269	64484
1486	27284	64459
1487	27298	64431
1488	27313	64403
1489	27328	64376
1490	27342	64349
1491	27357	64323
1492	27375	64303
1493	27390	64277
1494	27406	64254
1495	27421	64227
1496	27437	64205
1497	27452	64179
1498	27467	64151
1499	27484	64129
1500	27500	64106
1501	27515	64081
1502	27532	64059
1503	27553	64046
1504	27581	64052
1505	27596	64025
1506	27609	63995
1507	27626	63974
1508	27640	63945
1509	27655	63918
1510	27670	63893
1511	27687	63872
1512	27700	63842
1513	27811	64036
1514	27860	64088
1515	27881	64075
1516	27900	64057
1517	27935	64077
1518	27969	64095
1519	27993	64090
1520	28010	64069
1521	28029	64050
1522	28050	64038
1523	28074	64032
1524	28087	64003
1525	28102	63976
1526	28121	63960
1527	28137	63934
1528	28159	63924
1529	28175	63900
1530	28190	63874
